Data File Name,2100 expert_High Sensitivity DNA Assay_DE72901941_2012-02-21_17-32-30.xad
Data File Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\data\2012-02-21
Date Created,"Tuesday, February 21, 2012 8:32:30 AM"
Date Last Modified,"Tuesday, February 21, 2012 9:00:42 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,6
 
Sample Name,sample1
Number of Events,2121
 
Time,Value
77.65,60.30492
77.7,60.57591
77.75,60.88851
77.8,61.25947
77.85,61.76579
77.9,62.00171
77.95,62.47157
78,62.79015
78.05,63.4339
78.1,64.02593
78.15,64.71707
78.2,65.57797
78.25,66.78865
78.3,67.97987
78.35,69.52219
78.4,70.7345
78.45,71.61263
78.5,71.81976
78.55,71.88566
78.6,72.21956
78.65,72.81445
78.7,73.68792
78.75,74.44366
78.8,74.90788
78.85,75.11974
78.9,75.6156
78.95,76.06946
79,76.7019
79.05,77.38574
79.1,77.91021
79.15,77.64143
79.2,77.45845
79.25,77.87541
79.3,78.3889
79.35,79.52437
79.4,81.30273
79.45,82.94619
79.5,84.38449
79.55,85.69105
79.6,86.30959
79.65,86.39192
79.7,86.53221
79.75,87.5376
79.8,89.03677
79.85,90.629
79.9,92.42984
79.95,93.26283
80,93.34997
80.05,92.51897
80.1,92.20898
80.15,92.50793
80.2,93.14256
80.25,94.39856
80.3,96.21896
80.35,97.08147
80.4,97.33298
80.45,98.13654
80.5,99.26675
80.55,100.2567
80.6,100.9266
80.65,100.8549
80.7,100.6174
80.75,100.6891
80.8,101.1754
80.85,101.4438
80.9,102.258
80.95,103.8662
81,105.7898
81.05,108.4965
81.1,111.5653
81.15,112.7774
81.2,113.3889
81.25,114.4009
81.3,116.3564
81.35,118.733
81.4,120.4114
81.45,121.0481
81.5,121.2551
81.55,120.8577
81.6,120.644
81.65,120.4462
81.7,120.3914
81.75,120.6077
81.8,121.0157
81.85,121.6494
81.9,121.6564
81.95,121.4728
82,121.6532
82.05,121.7778
82.1,122.907
82.15,125.0311
82.2,127.0567
82.25,129.765
82.3,132.5747
82.35,134.5483
82.4,135.4155
82.45,136.3086
82.5,138.4443
82.55,140.1363
82.6,141.6401
82.65,143.254
82.7,143.8386
82.75,143.6713
82.8,142.7679
82.85,140.9449
82.9,138.5199
82.95,136.2875
83,135.3698
83.05,134.0075
83.1,132.3559
83.15,131.0462
83.2,129.2447
83.25,127.7063
83.3,126.0992
83.35,124.6158
83.4,122.6854
83.45,121.0629
83.5,120.7231
83.55,120.1371
83.6,119.1115
83.65,117.7516
83.7,117.0434
83.75,116.9592
83.8,116.2895
83.85,115.4341
83.9,114.7357
83.95,113.9103
84,113.0635
84.05,112.4665
84.1,111.8805
84.15,111.4545
84.2,110.95
84.25,110.8334
84.3,110.3583
84.35,109.6119
84.4,109.1515
84.45,108.8997
84.5,108.9182
84.55,109.3315
84.6,109.5932
84.65,110.1058
84.7,110.574
84.75,110.8241
84.8,110.4736
84.85,110.1192
84.9,110.3892
84.95,110.7332
85,111.4115
85.05,111.9673
85.1,112.1742
85.15,112.6335
85.2,113.9453
85.25,115.5201
85.3,116.4117
85.35,115.8704
85.4,115.4253
85.45,113.3589
85.5,112.2146
85.55,111.1916
85.6,110.1331
85.65,109.3391
85.7,108.3009
85.75,107.58
85.8,106.8337
85.85,105.8658
85.9,104.8303
85.95,103.5583
86,102.6485
86.05,102.1627
86.1,102.3325
86.15,103.1655
86.2,103.4077
86.25,103.0007
86.3,101.9206
86.35,100.6182
86.4,98.89088
86.45,97.70039
86.5,96.68053
86.55,97.31661
86.6,98.28402
86.65,99.23849
86.7,99.50524
86.75,99.18736
86.8,97.95103
86.85,97.24022
86.9,97.73782
86.95,98.96194
87,99.54029
87.05,99.76903
87.1,100.1472
87.15,99.59432
87.2,99.15513
87.25,99.16487
87.3,98.77762
87.35,98.30758
87.4,97.97905
87.45,98.45325
87.5,98.79083
87.55,98.59698
87.6,98.6964
87.65,98.77534
87.7,98.64018
87.75,98.33266
87.8,97.84391
87.85,97.84293
87.9,98.52895
87.95,99.6388
88,100.9869
88.05,101.9771
88.1,101.6756
88.15,101.0222
88.2,100.8717
88.25,100.7586
88.3,100.2817
88.35,99.72321
88.4,99.69957
88.45,100.398
88.5,100.8763
88.55,102.2618
88.6,102.8297
88.65,102.9203
88.7,103.5747
88.75,104.1767
88.8,104.1788
88.85,103.9113
88.9,104.0469
88.95,104.8085
89,104.84
89.05,104.8824
89.1,104.3752
89.15,103.6816
89.2,103.6026
89.25,104.5316
89.3,106.0955
89.35,106.7314
89.4,107.0202
89.45,107.6571
89.5,108.6121
89.55,109.8095
89.6,111.2054
89.65,112.2867
89.7,111.7913
89.75,110.3456
89.8,109.2897
89.85,109.0441
89.9,109.3611
89.95,109.3233
90,109.5708
90.05,109.0599
90.1,107.8512
90.15,106.3728
90.2,105.2321
90.25,104.714
90.3,104.5964
90.35,105.2307
90.4,105.9354
90.45,106.3973
90.5,106.7781
90.55,107.5093
90.6,108.6099
90.65,109.7995
90.7,111.1626
90.75,112.5059
90.8,112.9359
90.85,112.9306
90.9,112.9069
90.95,113.4284
91,114.0332
91.05,114.8218
91.1,115.8339
91.15,116.5364
91.2,117.0135
91.25,117.6839
91.3,118.6535
91.35,119.5468
91.4,119.7536
91.45,119.691
91.5,119.5617
91.55,119.1311
91.6,118.735
91.65,119.4752
91.7,120.4952
91.75,121.7174
91.8,123.4778
91.85,125.0508
91.9,124.9164
91.95,124.038
92,124.0552
92.05,125.3209
92.1,127.0618
92.15,129.4035
92.2,131.6699
92.25,132.5123
92.3,133.0101
92.35,134.1396
92.4,135.5984
92.45,136.9534
92.5,138.8817
92.55,142.0476
92.6,144.4018
92.65,146.7014
92.7,148.2186
92.75,149.3225
92.8,149.3848
92.85,149.845
92.9,151.2265
92.95,152.2051
93,153.4406
93.05,154.9347
93.1,156.4537
93.15,157.77
93.2,157.809
93.25,157.0551
93.3,156.0577
93.35,155.3952
93.4,154.0501
93.45,151.9602
93.5,150.3293
93.55,149.8133
93.6,150.1777
93.65,150.079
93.7,150.3961
93.75,148.9644
93.8,145.9722
93.85,143.905
93.9,143.7736
93.95,143.631
94,143.5801
94.05,144.4628
94.1,145.9299
94.15,145.3344
94.2,145.4069
94.25,146.3472
94.3,146.2243
94.35,146.0456
94.4,146.6599
94.45,147.8854
94.5,149.1327
94.55,150.3085
94.6,151.1873
94.65,151.3067
94.7,151.8991
94.75,152.2841
94.8,151.9557
94.85,151.6969
94.9,150.0426
94.95,147.742
95,145.5498
95.05,143.7489
95.1,140.9856
95.15,137.6076
95.2,135.0691
95.25,133.2084
95.3,130.7158
95.35,128.9194
95.4,127.5171
95.45,125.5924
95.5,122.9294
95.55,120.4705
95.6,119.0516
95.65,118.8055
95.7,119.6653
95.75,121.0542
95.8,121.4611
95.85,120.1872
95.9,118.055
95.95,117.1836
96,118.1562
96.05,118.3867
96.1,117.9526
96.15,117.2008
96.2,115.9771
96.25,114.1905
96.3,112.8109
96.35,111.9026
96.4,109.9003
96.45,107.2773
96.5,105.4247
96.55,104.2362
96.6,103.3665
96.65,102.2524
96.7,100.9524
96.75,99.07693
96.8,96.86217
96.85,95.5978
96.9,95.09389
96.95,95.16496
97,95.68589
97.05,96.10903
97.1,96.12666
97.15,95.5034
97.2,95.1283
97.25,95.24492
97.3,94.45387
97.35,93.95934
97.4,93.05968
97.45,91.15433
97.5,89.10128
97.55,87.89118
97.6,87.52828
97.65,87.05229
97.7,86.61517
97.75,85.95896
97.8,84.63304
